gene_pairs,uniprot_pairs,score
ARNTL2_RORC,Q8WYA1_P51449,0.05447
ARNTL_MYOD1,O00327_P15172,0.05264
MYOD1_ARNTL,P15172_O00327,0.05264
RORA_MYOD1,P35398_P15172,0.0487
MYOD1_RORA,P15172_P35398,0.0487
ARNTL_MAX,O00327_P61244,0.04858
MAX_ARNTL,P61244_O00327,0.04858
RHOA_CRY2,P61586_Q49AN0,0.0467
CRY2_RHOA,Q49AN0_P61586,0.0467
MYOD1_NPAS2,P15172_Q99743,0.0447
NPAS2_MYOD1,Q99743_P15172,0.0447
ARNTL_RHOA,O00327_P61586,0.0444
RHOA_ARNTL,P61586_O00327,0.0444
MAX_RORB,P61244_Q92753,0.0443
RORB_MAX,Q92753_P61244,0.0443
MYOD1_CLOCK,P15172_O15516,0.04355
CLOCK_MYOD1,O15516_P15172,0.04355
RORA_MAX,P35398_P61244,0.03885
MAX_RORA,P61244_P35398,0.03885
MYOD1_RORB,P15172_Q92753,0.03876
RORB_MYOD1,Q92753_P15172,0.03876
ARNTL2_MAX,Q8WYA1_P61244,0.0329
MAX_ARNTL2,P61244_Q8WYA1,0.0329
